V1;V2;V3;V4
1784;124.923071235536;119.401240700085;130.444901770988
1785;124.583220786710;119.062792033256;130.103649540164
1786;118.999009429816;113.980986932851;124.017031926782
1787;116.573240714490;111.920776640593;121.225704788386
1788;115.232245379547;110.215700525627;120.248790233468
1789;120.574403914013;115.921939840117;125.226867987909
1790;115.464021998070;110.415929944001;120.512114052139
1791;112.487124746384;107.439032692315;117.535216800453
1792;114.262922935497;109.214830881428;119.311014989566
1793;118.981940839996;113.933848785927;124.030032894065
1794;106.948608098961;102.295970053144;111.601246144779
1795;120.915417396080;115.867325342011;125.963509450149
1796;120.808015523104;115.759923469035;125.856107577172
1797;116.345363347999;111.692899274103;120.997827421895
1798;112.850689451649;107.834144597729;117.867234305570
1799;122.301983737651;117.253891683582;127.35007579172
1800;114.930043883555;109.860434907124;119.999652859985
1801;111.657141734495;106.07901225288;117.235271216110
1802;118.424618331028;113.408478226527;123.440758435529
1803;111.65423895325;106.108046597802;117.200431308699
1804;117.645864442599;112.603011332956;122.688717552241
1805;123.447853691529;117.909887029041;128.985820354017
1806;120.531211698379;114.993245035891;126.069178360867
1807;120.50015594308;114.962189280592;126.038122605568
1808;125.148751054704;119.610784392216;130.686717717192
1809;121.216691774895;116.173838665253;126.259544884538
1810;116.872101773220;111.829248663578;121.914954882863
1811;111.056994500183;106.014141390541;116.099847609826
1812;121.358258773669;115.812066418221;126.904451129118
1813;113.328729816447;106.950013894174;119.707445738721
1814;118.585520849174;112.317855616776;124.853186081572
1815;104.793071824289;97.1785692661382;112.407574382441
1816;125.173212227058;117.558709668907;132.787714785210
1817;130.268247327750;122.653744769599;137.882749885902
1818;119.060031134178;112.792365901780;125.327696366575
1819;112.560606964016;106.227217322122;118.893996605911
1820;113.436607363693;107.103217721798;119.769997005587
1821;119.411221106909;111.655923681552;127.166518532266
1822;115.682482852590;109.349093210696;122.015872494485
1823;123.778394050360;116.023096625003;131.533691475717
1824;124.349101294663;118.850660793740;129.847541795586
1825;117.933590655918;112.435150154996;123.432031156841
1826;110.812789528206;105.314349027284;116.311230029129
1827;118.666818389739;113.168377888816;124.165258890662
1828;118.309311578443;112.005941847634;124.612681309252
1829;120.689017105565;114.385647374756;126.992386836374
1830;113.058984133211;106.755614402402;119.362353864020
1831;119.335215374421;111.808559862012;126.861870886830
1832;121.880658394652;115.577288663844;128.184028125461
1833;120.851463552210;114.548093821402;127.154833283019
1834;117.831224242387;111.527854511578;124.134593973196
1835;118.664300029433;112.360930298624;124.967669760241
1836;119.989771356744;113.686401625936;126.293141087553
1837;124.110746530061;117.807376799253;130.414116260870
1838;122.412401496497;116.109031765689;128.715771227306
1839;120.052346378505;112.525690866096;127.579001890914
1840;115.194668991339;109.631298072424;120.758039910253
1841;112.107191819968;106.543820901053;117.670562738882
1842;116.707968665971;111.144597747057;122.271339584886
1843;116.686616638951;108.968250925512;124.404982352391
1844;114.040117391537;106.321751678098;121.758483104977
1845;125.577303153216;119.118896397140;132.035709909293
1846;113.144479614860;106.686072858784;119.602886370937
1847;122.851654379881;116.393247623804;129.310061135957
1848;116.965514277556;110.507107521480;123.423921033632
1849;124.823954787166;118.365548031090;131.282361543243
1850;128.266436903727;121.808030147650;134.724843659803
1851;119.909870453648;113.451463697572;126.368277209724
1852;121.799166094715;116.171592094659;127.426740094770
1853;130.273244901154;124.645670901098;135.900818901209
1854;117.654514819827;113.005569851838;122.303459787817
1855;121.034154733062;115.487110530970;126.581198935155
1856;119.040582165516;113.493537963423;124.587626367609
1857;119.776492687626;114.229448485533;125.323536889719
1858;118.706161758079;113.159117555986;124.253205960172
1859;116.388145660218;110.049107450811;122.727183869625
1860;124.193065182245;118.646020980152;129.740109384338
1861;118.043795881743;112.49675167965;123.590840083836
1862;110.601312151829;105.562466839553;115.640157464106
1863;117.389560664113;112.350715351837;122.428405976389
1864;120.760629943026;115.138227352535;126.383032533517
1865;116.536754140875;110.914351550384;122.159156731366
1866;117.932835352979;111.550753419433;124.314917286525
1867;116.868491760022;111.246089169532;122.490894350513
1868;117.077285182227;111.454882591737;122.699687772718
1869;114.141671830562;109.413493208730;118.869850452395
1870;119.859127261438;114.749954439283;124.968300083593
1871;116.543048199252;111.443517088803;121.642579309700
1872;114.514773957330;109.786595335497;119.242952579162
1873;118.123252234386;113.395073612553;122.851430856218
1874;119.006833140566;114.278654518734;123.735011762398
1875;118.183673299777;113.053625672657;123.313720926897
1876;124.166196740065;118.502671747359;129.829721732770
1877;124.231556655571;118.568031662866;129.895081648276
1878;121.444204853395;114.933133893482;127.955275813307
1879;130.783244152379;124.272173192466;137.294315112291
1880;121.236234946227;114.725163986315;127.74730590614
1881;119.215919798368;115.248444256703;123.183395340033
1882;113.523340762741;109.294915901698;117.751765623784
1883;124.232581143961;119.370863736841;129.094298551081
1884;113.170136478492;108.311614547390;118.028658409593
1885;118.858192458135;113.999670527034;123.716714389237
1886;118.453935255873;113.551404313021;123.356466198724
1887;124.549388325066;119.646857382215;129.451919267917
1888;125.379944080490;120.477413137639;130.282475023342
1889;127.490711282635;122.584297700892;132.397124864378
1890;119.790733958976;114.888203016125;124.693264901827
1891;128.58135561125;123.674942029507;133.487769192993
1892;118.634952026940;113.728538445198;123.541365608683
1893;112.482922591761;107.060221979623;117.905623203899
1894;113.210359382305;109.018449729727;117.402269034883
1895;119.548740244363;115.064772990866;124.032707497860
1896;123.934081865583;119.0761712755;128.791992455666
1897;110.432831911247;105.576579758612;115.289084063883
1898;119.647570184543;115.167332230839;124.127808138247
1899;115.175825084673;110.689866071034;119.661784098312
1900;123.431276621667;119.239366969089;127.623186274245
1901;124.232968251423;119.749000997927;128.71693550492
1902;115.814923016808;111.330955763311;120.298890270304
1903;119.789185135870;115.306239669265;124.272130602474
1904;118.279648277234;113.796702810630;122.762593743839
1905;118.612673763836;114.420764111257;122.804583416414
1906;118.741101486960;114.549191834382;122.933011139538
1907;124.694637731922;119.838385579287;129.550889884558
1908;127.540070002271;123.059832048568;132.020307955975
1909;119.011047205064;114.819137552485;123.202956857642
1910;119.061106003011;114.578160536406;123.544051469616
1911;120.987906306568;116.131654153933;125.844158459204
1912;110.151089331399;105.959179678821;114.342998983977
1913;113.615347066974;109.135109113271;118.095585020678
1914;117.068329471367;112.582370457728;121.554288485007
1915;125.963791827933;121.480846361328;130.446737294537
1916;111.547417614735;107.355507962157;115.739327267313
1917;129.669156273624;125.185189020127;134.153123527120
1918;116.165856198949;111.685618245245;120.646094152653
1919;130.183463934821;125.697504921182;134.669422948460
1920;113.259553088281;108.779315134577;117.739791041984
1921;110.439270603142;105.583018450506;115.295522755777
1922;119.339463723106;113.968027733855;124.710899712356
1923;116.794427195393;111.93651660531;121.652337785477
1924;124.331443506840;118.960007517590;129.702879496091
1925;118.700720181968;113.842809591885;123.558630772052
1926;114.421652773894;109.563742183811;119.279563363977
1927;122.873036404067;117.501600414817;128.244472393318
1928;116.055147777849;111.574909824146;120.535385731553
1929;129.254573700044;124.392670497847;134.116476902240
1930;120.067108088654;115.58687013495;124.547346042357
1931;127.668380207328;123.188142253624;132.148618161031
1932;126.274872841290;121.794634887587;130.755110794994
1933;120.678718779184;115.307282789934;126.050154768435
1934;117.648677022252;111.511911575606;123.785442468899
1935;121.368162080896;115.231396634250;127.504927527543
1936;120.031959600427;113.89519415378;126.168725047073
1937;118.956263094301;112.819497647654;125.093028540948
1938;111.770455717841;106.399019728591;117.141891707092
1939;119.382535345658;114.524624755575;124.240445935741
1940;122.233431327415;116.096665880768;128.370196774062
1941;126.564158032804;119.127573500011;134.000742565598
1942;122.788489108206;115.351904575412;130.225073641000
1943;116.628488654546;109.191904121752;124.065073187340
1944;121.148116466123;113.711531933329;128.584700998917
1945;112.809895117316;105.373310584522;120.246479650110
1946;113.189922925674;105.753338392880;120.626507458468
1947;119.344557802755;111.907973269961;126.781142335549
1948;111.174888051811;103.738303519018;118.611472584605
1949;120.420254308881;112.983669776087;127.856838841675
1950;117.514171256493;110.077586723699;124.950755789287
1951;119.840095393458;115.112002123351;124.568188663564
1952;114.016960933642;111.667801108354;116.366120758929
1953;111.570623993005;109.060123166587;114.081124819424
1954;125.229306562540;122.720208753893;127.738404371186
1955;119.571612278278;117.223175073273;121.920049483283
1956;125.964623888069;123.819687323865;128.109560452273
1957;110.845449563045;108.585128824838;113.105770301251
1958;122.570830817768;120.548752824005;124.592908811531
1959;112.855581708735;110.912271349054;114.798892068416
1960;115.629073441650;113.660567409769;117.597579473531
1961;103.885185451036;101.773830849584;105.996540052488
1962;122.545703805316;120.365021536994;124.726386073638
1963;124.102209962057;121.883610447888;126.320809476225
1964;119.684483940602;117.572430470535;121.796537410670
1965;124.599301441799;122.418604646268;126.779998237331
1966;116.175527722915;114.062642306836;118.288413138994
1967;119.822261039633;117.710463569502;121.934058509764
1968;115.647784157665;113.626217971605;117.669350343725
1969;121.548752140931;119.878173414850;123.219330867013
1970;128.794795864083;127.261203501415;130.328388226752
1971;117.312081491409;115.748232039723;118.875930943095
1972;116.228164453937;114.747877210090;117.708451697784
1973;125.473023649807;124.052061967158;126.893985332455
1974;108.918164172844;107.445219304083;110.391109041606
1975;121.317848654528;119.890108586454;122.745588722602
1976;117.542754838566;116.100721106862;118.98478857027
1977;114.961193623576;113.488690489191;116.433696757961
1978;123.826964434548;122.384869928094;125.269058941002
1979;127.145848116792;125.696379903446;128.595316330137
1980;124.895661704791;123.460873109921;126.330450299661
1981;114.38909306732;112.939703471931;115.838482662709
1982;123.887141073176;122.422944387640;125.351337758712
1983;119.093663287385;117.652291547937;120.535035026832
1984;123.951315051094;122.509221933796;125.393408168393
1985;124.635597502832;123.15478226528;126.116412740385
1986;125.310304090487;123.860843189269;126.759764991704
1987;121.108743867604;119.681683608681;122.535804126527
1988;120.195033151136;118.753632904933;121.636433397340
