08:22:27   30.07.2012               Program Climap                   MeteoSwiss
Times in UTC 0040 (UTC)  =  01:40  Winter time  =  02:40  Summer time
Time period: 01.01.1960 00:00  -  31.12.2011 23:50 UTC 32767 -> missing value
number of stations  177
  980 1975  1  1  0  0  30.04.1975 
  980 1976  1  1  0  0  25.04.1976 
  980 1977  1  1  0  0  20.04.1977 
  980 1978  1  1  0  0  15.04.1978 
  980 1979  1  1  0  0  24.04.1979 
  980 1980  1  1  0  0  20.04.1980 
  980 1981  1  1  0  0       32767 
  980 1982  1  1  0  0  15.04.1982 
  980 1983  1  1  0  0  10.04.1983 
  980 1984  1  1  0  0       32767 
  980 1985  1  1  0  0       32767 
  980 1986  1  1  0  0       32767 
  980 1987  1  1  0  0  14.04.1987 
  980 1988  1  1  0  0  05.04.1988 
  980 1989  1  1  0  0  03.04.1989 
  980 1990  1  1  0  0       32767 
  980 1991  1  1  0  0       32767 
  980 1992  1  1  0  0       32767 
  980 1993  1  1  0  0       32767 
  980 1994  1  1  0  0       32767 
  980 1995  1  1  0  0       32767 
  980 1996  1  1  0  0       32767 
  980 1997  1  1  0  0  17.04.1997 
  980 1998  1  1  0  0  21.04.1998 
  980 1999  1  1  0  0  08.04.1999 
  980 2000  1  1  0  0       32767 
  980 2001  1  1  0  0  22.04.2001 
  980 2002  1  1  0  0  18.04.2002 
  980 2003  1  1  0  0  21.04.2003 
  980 2004  1  1  0  0  21.04.2004 
  980 2005  1  1  0  0  23.04.2005 
  980 2006  1  1  0  0  28.04.2006 
  980 2007  1  1  0  0  08.04.2007 
  980 2008  1  1  0  0  17.04.2008 
  980 2009  1  1  0  0  10.04.2009 
  980 2010  1  1  0  0  20.04.2010 
  980 2011  1  1  0  0  07.04.2011 
  737 1960  1  1  0  0       32767 
  737 1961  1  1  0  0       32767 
  737 1962  1  1  0  0       32767 
  737 1963  1  1  0  0       32767 
  737 1964  1  1  0  0       32767 
  737 1965  1  1  0  0       32767 
  737 1966  1  1  0  0       32767 
  737 1967  1  1  0  0       32767 
  737 1968  1  1  0  0       32767 
  737 1969  1  1  0  0       32767 
  737 1970  1  1  0  0       32767 
  737 1971  1  1  0  0       32767 
  737 1972  1  1  0  0       32767 
  737 1973  1  1  0  0       32767 
  737 1974  1  1  0  0       32767 
  737 1975  1  1  0  0       32767 
  737 1976  1  1  0  0       32767 
  737 1977  1  1  0  0       32767 
  737 1978  1  1  0  0       32767 
  737 1979  1  1  0  0       32767 
  737 1980  1  1  0  0       32767 
  737 1981  1  1  0  0       32767 
  737 1982  1  1  0  0       32767 
  737 1983  1  1  0  0       32767 
  737 1984  1  1  0  0       32767 
  737 1985  1  1  0  0       32767 
  737 1986  1  1  0  0       32767 
  737 1987  1  1  0  0       32767 
  737 1988  1  1  0  0       32767 
  737 1989  1  1  0  0       32767 
  737 1990  1  1  0  0       32767 
  737 1991  1  1  0  0       32767 
  737 1992  1  1  0  0       32767 
  737 1993  1  1  0  0       32767 
  737 1994  1  1  0  0       32767 
  737 1995  1  1  0  0       32767 
  737 1996  1  1  0  0       32767 
  737 1997  1  1  0  0       32767 
  737 1998  1  1  0  0       32767 
  737 1999  1  1  0  0       32767 
  737 2000  1  1  0  0       32767 
  737 2001  1  1  0  0       32767 
  737 2002  1  1  0  0       32767 
  737 2003  1  1  0  0       32767 
  737 2004  1  1  0  0       32767 
  737 2005  1  1  0  0       32767 
  737 2006  1  1  0  0       32767 
  737 2007  1  1  0  0       32767 
  737 2008  1  1  0  0       32767 
  737 2009  1  1  0  0       32767 
  737 2010  1  1  0  0       32767 
  737 2011  1  1  0  0       32767 
  180 1960  1  1  0  0       32767 
  180 1961  1  1  0  0       32767 
  180 1962  1  1  0  0       32767 
  180 1963  1  1  0  0       32767 
  180 1964  1  1  0  0       32767 
  180 1965  1  1  0  0       32767 
  180 1966  1  1  0  0       32767 
  180 1967  1  1  0  0       32767 
  180 1968  1  1  0  0       32767 
  180 1969  1  1  0  0       32767 
  180 1970  1  1  0  0       32767 
  180 1971  1  1  0  0       32767 
  180 1972  1  1  0  0       32767 
  180 1973  1  1  0  0       32767 
  180 1974  1  1  0  0       32767 
  180 1975  1  1  0  0       32767 
  180 1976  1  1  0  0       32767 
  180 1977  1  1  0  0       32767 
  180 1978  1  1  0  0       32767 
  180 1979  1  1  0  0       32767 
  180 1980  1  1  0  0       32767 
  180 1981  1  1  0  0       32767 
  180 1982  1  1  0  0       32767 
  180 1983  1  1  0  0       32767 
  180 1984  1  1  0  0       32767 
  180 1985  1  1  0  0       32767 
  180 1986  1  1  0  0       32767 
  180 1987  1  1  0  0       32767 
  180 1988  1  1  0  0       32767 
  180 1989  1  1  0  0       32767 
  180 1990  1  1  0  0       32767 
  180 1991  1  1  0  0       32767 
  180 1992  1  1  0  0       32767 
  180 1993  1  1  0  0       32767 
  180 1994  1  1  0  0       32767 
  180 1995  1  1  0  0       32767 
  180 1996  1  1  0  0       32767 
  180 1997  1  1  0  0       32767 
  180 1998  1  1  0  0       32767 
  180 1999  1  1  0  0       32767 
  180 2000  1  1  0  0       32767 
  180 2001  1  1  0  0       32767 
  180 2002  1  1  0  0       32767 
  180 2003  1  1  0  0       32767 
  180 2004  1  1  0  0       32767 
  180 2005  1  1  0  0       32767 
  180 2006  1  1  0  0       32767 
  180 2007  1  1  0  0       32767 
  180 2008  1  1  0  0       32767 
  180 2009  1  1  0  0       32767 
  180 2010  1  1  0  0       32767 
  180 2011  1  1  0  0       32767 
 1012 1960  1  1  0  0       32767 
 1012 1961  1  1  0  0       32767 
 1012 1962  1  1  0  0       32767 
 1012 1963  1  1  0  0       32767 
 1012 1964  1  1  0  0       32767 
 1012 1965  1  1  0  0       32767 
 1012 1966  1  1  0  0       32767 
 1012 1967  1  1  0  0       32767 
 1012 1968  1  1  0  0       32767 
 1012 1969  1  1  0  0       32767 
 1012 1970  1  1  0  0  20.05.1970 
 1012 1971  1  1  0  0  24.04.1971 
 1012 1972  1  1  0  0  20.04.1972 
 1012 1973  1  1  0  0  10.05.1973 
 1012 1974  1  1  0  0  05.04.1974 
 1012 1975  1  1  0  0  10.05.1975 
 1012 1976  1  1  0  0  01.05.1976 
 1012 1977  1  1  0  0  14.05.1977 
 1012 1978  1  1  0  0  12.05.1978 
 1012 1979  1  1  0  0  13.05.1979 
 1012 1980  1  1  0  0  18.05.1980 
 1012 1981  1  1  0  0  20.04.1981 
 1012 1982  1  1  0  0  11.05.1982 
 1012 1983  1  1  0  0  04.05.1983 
 1012 1984  1  1  0  0  15.05.1984 
 1012 1985  1  1  0  0  13.05.1985 
 1012 1986  1  1  0  0  14.05.1986 
 1012 1987  1  1  0  0  02.05.1987 
 1012 1988  1  1  0  0  15.04.1988 
 1012 1989  1  1  0  0  28.03.1989 
 1012 1990  1  1  0  0  24.03.1990 
 1012 1991  1  1  0  0  23.03.1991 
 1012 1992  1  1  0  0  25.04.1992 
 1012 1993  1  1  0  0  20.04.1993 
 1012 1994  1  1  0  0  26.03.1994 
 1012 1995  1  1  0  0  25.03.1995 
 1012 1996  1  1  0  0  20.04.1996 
 1012 1997  1  1  0  0  26.03.1997 
 1012 1998  1  1  0  0  14.04.1998 
 1012 1999  1  1  0  0  19.04.1999 
 1012 2000  1  1  0  0  12.04.2000 
 1012 2001  1  1  0  0  05.04.2001 
 1012 2002  1  1  0  0  24.03.2002 
 1012 2003  1  1  0  0  01.04.2003 
 1012 2004  1  1  0  0  07.04.2004 
 1012 2005  1  1  0  0  17.04.2005 
 1012 2006  1  1  0  0  21.04.2006 
 1012 2007  1  1  0  0  15.04.2007 
 1012 2008  1  1  0  0  20.04.2008 
 1012 2009  1  1  0  0  13.04.2009 
 1012 2010  1  1  0  0  29.04.2010 
 1012 2011  1  1  0  0  05.04.2011 
 1507 1960  1  1  0  0       32767 
 1507 1961  1  1  0  0       32767 
 1507 1962  1  1  0  0       32767 
 1507 1963  1  1  0  0       32767 
 1507 1964  1  1  0  0       32767 
 1507 1965  1  1  0  0       32767 
 1507 1966  1  1  0  0       32767 
 1507 1967  1  1  0  0       32767 
 1507 1968  1  1  0  0       32767 
 1507 1969  1  1  0  0       32767 
 1507 1970  1  1  0  0       32767 
 1507 1971  1  1  0  0       32767 
 1507 1972  1  1  0  0       32767 
 1507 1973  1  1  0  0       32767 
 1507 1974  1  1  0  0       32767 
 1507 1975  1  1  0  0       32767 
 1507 1976  1  1  0  0       32767 
 1507 1977  1  1  0  0       32767 
 1507 1978  1  1  0  0       32767 
 1507 1979  1  1  0  0       32767 
 1507 1980  1  1  0  0       32767 
 1507 1981  1  1  0  0       32767 
 1507 1982  1  1  0  0       32767 
 1507 1983  1  1  0  0       32767 
 1507 1984  1  1  0  0       32767 
 1507 1985  1  1  0  0       32767 
 1507 1986  1  1  0  0       32767 
 1507 1987  1  1  0  0       32767 
 1507 1988  1  1  0  0       32767 
 1507 1989  1  1  0  0       32767 
 1507 1990  1  1  0  0       32767 
 1507 1991  1  1  0  0       32767 
 1507 1992  1  1  0  0       32767 
 1507 1993  1  1  0  0       32767 
 1507 1994  1  1  0  0       32767 
 1507 1995  1  1  0  0       32767 
 1507 1996  1  1  0  0       32767 
 1507 1997  1  1  0  0       32767 
 1507 1998  1  1  0  0       32767 
 1507 1999  1  1  0  0       32767 
 1507 2000  1  1  0  0       32767 
 1507 2001  1  1  0  0       32767 
 1507 2002  1  1  0  0       32767 
 1507 2003  1  1  0  0       32767 
 1507 2004  1  1  0  0       32767 
 1507 2005  1  1  0  0       32767 
 1507 2006  1  1  0  0       32767 
 1507 2007  1  1  0  0       32767 
 1507 2008  1  1  0  0       32767 
 1507 2009  1  1  0  0       32767 
 1507 2010  1  1  0  0       32767 
 1507 2011  1  1  0  0       32767 
  313 1960  1  1  0  0       32767 
